Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
25-Sep,8197.968,12058.049,14261.335,8028.066,,14261.335,8028.066,6233.269
26-Sep,8200.778,12221.602,14097.641,7527.561,,14097.641,7527.561,6570.08
27-Sep,9509.928,12562.075,16867.06,6455.892,,16867.06,6455.892,10411.168
28-Sep,9466.619,12336.768,17723.06,6418.452,,17723.06,6418.452,11304.608
29-Sep,13595.237,14428.453,17063.58,6525.19,,17063.58,6525.19,10538.39
30-Sep,13627.454,14023.188,16207.79,7736.252,,16207.79,7736.252,8471.538
1-Oct,14308.788,13693.398,17503.21,7759.46,,17503.21,7759.46,9743.75
2-Oct,14249.358,13266.648,20848.65,8070.896,,20848.65,8070.896,12777.754
3-Oct,14191.328,12490.351,20187.8,11624.866,,20187.8,11624.866,8562.934
4-Oct,16052.784,11442.851,22428.765,13029.753,,22428.765,11442.851,10985.914
5-Oct,16384.678,11000.656,23174.205,14879.735,,23174.205,11000.656,12173.549
6-Oct,15707.84,14677.376,20837.351,15680.383,,20837.351,14677.376,6159.975
7-Oct,16631.57,15868.409,21013.601,16749.644,,21013.601,15868.409,5145.192
8-Oct,16182.457,15964.504,21851.072,17539.782,,21851.072,15964.504,5886.568
9-Oct,17234.251,15572.002,21446.817,17485.234,,21446.817,15572.002,5874.815
10-Oct,18333.348,15819.99,21266.041,18582.532,,21266.041,15819.99,5446.051
11-Oct,18533.471,14736.932,22722.977,19121.568,,22722.977,14736.932,7986.045
12-Oct,18371.951,16682.706,22320.939,18057.982,,22320.939,16682.706,5638.233
13-Oct,22181.651,17461.542,23554.033,19027.742,,23554.033,17461.542,6092.491
14-Oct,21391.211,17805.444,23916.871,18851.796,,23916.871,17805.444,6111.427
15-Oct,20331.288,17749.704,24091.24,18826.071,,24091.24,17749.704,6341.536
16-Oct,20041.897,18365.41,24154.798,18593.956,,24154.798,18365.41,5789.388
17-Oct,18694.506,18687.335,26223.94,21655.686,,26223.94,18687.335,7536.605
18-Oct,17271.92,18443.26,26022.88,20191.707,,26022.88,17271.92,8750.96
19-Oct,16652.788,18197.08,25460.67,21447.861,,25460.67,16652.788,8807.882
